CHEMBL222863	DB01092
CHEMBL1200600	DB00324
CHEMBL1342336	
CHEMBL52	
CHEMBL3544989	
CHEMBL1417019	
CHEMBL1200986	
CHEMBL2079587	DB06718
CHEMBL528181	
CHEMBL235191	DB12291
CHEMBL2096631	
CHEMBL1764	DB01403
CHEMBL3545120	
CHEMBL404422	DB01353
CHEMBL61593	DB00606
CHEMBL606	DB00929
CHEMBL473417	DB08828
CHEMBL1116	
CHEMBL589	DB00268
CHEMBL1496	DB01098
CHEMBL3545386	
CHEMBL449081	
CHEMBL578504	
CHEMBL523200	
CHEMBL108	DB00564
CHEMBL636	DB00989
CHEMBL392068	
CHEMBL150894	
CHEMBL3183409	DB11901
CHEMBL71	DB00477
CHEMBL279898	DB00824
CHEMBL932	DB00975
CHEMBL1880767	
CHEMBL590919	
CHEMBL475251	DB07159
CHEMBL406557	
CHEMBL316040	DB11466
CHEMBL581152	
a:Q31686490	
CHEMBL2027925	
CHEMBL101	DB00812
CHEMBL1742995	
CHEMBL1162175	DB05553
CHEMBL1201065	
CHEMBL607707	DB05524
CHEMBL590184	
CHEMBL492399	DB05585
CHEMBL1939433	
CHEMBL550755	
CHEMBL1091644	DB06075
CHEMBL1187833	DB09076
CHEMBL71595	DB11091
CHEMBL164660	
CHEMBL967	DB00231
CHEMBL1983268	DB11986
CHEMBL1557	
CHEMBL1088	DB00933
CHEMBL986	DB00162
CHEMBL6291	
CHEMBL511667	
CHEMBL485	DB00318
CHEMBL435	DB00999
CHEMBL108829	
CHEMBL856	DB00794
CHEMBL1078442	
CHEMBL1743081	
CHEMBL4297163	
CHEMBL1542	DB00993
CHEMBL1558	
CHEMBL284348	DB06637
CHEMBL3137320	DB11760
CHEMBL1101	DB00810
CHEMBL403989	DB05075
CHEMBL1643	DB00811
CHEMBL328250	DB00546
CHEMBL214154	
CHEMBL1486690	
CHEMBL750	
CHEMBL449	DB00237
CHEMBL1567	
CHEMBL255044	DB06623
CHEMBL284237	
CHEMBL572878	
CHEMBL1606	
CHEMBL34730	
CHEMBL4298109	
CHEMBL421	DB00795
CHEMBL257991	
CHEMBL70927	DB08826
CHEMBL331372	
CHEMBL541400	
CHEMBL1200819	
CHEMBL522892	DB05928
CHEMBL587620	
CHEMBL3545416	
CHEMBL2135460	DB02638
CHEMBL1117	DB01177
CHEMBL582439	
CHEMBL81	DB00481
CHEMBL1328919	
CHEMBL231884	DB08995
CHEMBL373937	
CHEMBL91829	DB11829
CHEMBL375293	
CHEMBL413	DB00877
CHEMBL388979	
CHEMBL968	DB00690
CHEMBL2218880	
CHEMBL533293	
CHEMBL10	
CHEMBL1236962	DB12703
CHEMBL285932	
CHEMBL1374360	
CHEMBL179512	
CHEMBL1214124	DB08883
CHEMBL1200934	DB00957
CHEMBL1743048	
CHEMBL391997	
CHEMBL600	DB06151
CHEMBL1186894	DB06263
CHEMBL1086377	
CHEMBL1200399	
CHEMBL3545026	
CHEMBL507974	
CHEMBL275707	
CHEMBL401844	
CHEMBL1556914	
CHEMBL1621597	DB00332
CHEMBL602969	
CHEMBL208427	DB06190
CHEMBL386630	DB00624
CHEMBL1089	DB00780
CHEMBL1684984	DB13051
CHEMBL15766	
CHEMBL454580	
CHEMBL1017	DB00966
CHEMBL1078261	DB12278
CHEMBL3	DB00184
CHEMBL8320	
CHEMBL84472	
CHEMBL4297457	
CHEMBL602922	
CHEMBL493682	
CHEMBL426559	DB11629
CHEMBL1333049	
CHEMBL1077773	
CHEMBL500	DB00960
CHEMBL1173655	DB08916
CHEMBL1098	DB00297
CHEMBL4297526	DB12404
CHEMBL1967878	
CHEMBL1201644	
CHEMBL3545432	
CHEMBL1237022	
CHEMBL456807	
CHEMBL103667	DB03044
CHEMBL679	DB00668
CHEMBL1084546	
CHEMBL3544983	DB11973
CHEMBL1908396	
CHEMBL414157	DB12569
CHEMBL547	DB00982
CHEMBL2068724	
CHEMBL61006	
CHEMBL1200844	
CHEMBL1229517	DB08881
CHEMBL354349	DB13326
CHEMBL1346025	
CHEMBL590949	
CHEMBL3137336	DB11969
CHEMBL10878	DB06594
CHEMBL712	DB01125
CHEMBL1444	DB01006
CHEMBL3545146	
CHEMBL1489	DB00928
CHEMBL21241	
CHEMBL24171	DB12216
CHEMBL677	DB06707
CHEMBL551466	
CHEMBL207538	DB11859
CHEMBL514409	
CHEMBL2171812	
CHEMBL3137342	
CHEMBL113150	
CHEMBL2105717	DB08875
CHEMBL3990042	
CHEMBL1055	DB00310
CHEMBL17860	DB04948
CHEMBL456295	
CHEMBL14762	DB06195
CHEMBL396778	DB06654
CHEMBL581910	
CHEMBL234338	
CHEMBL1200648	
CHEMBL58	DB01204
CHEMBL256892	DB02812
CHEMBL1256182	
CHEMBL1201576	
CHEMBL689	DB00742
CHEMBL4297863	
CHEMBL494	DB01088
CHEMBL103	DB00396
CHEMBL65	DB04690
CHEMBL1773	DB01101
CHEMBL2108429	
CHEMBL85685	
CHEMBL55814	
CHEMBL1201580	
CHEMBL1743024	
CHEMBL1201203	DB00245
CHEMBL472	DB01016
CHEMBL2028019	DB06016
CHEMBL1425995	
CHEMBL564201	
CHEMBL180022	DB11828
CHEMBL1743040	
CHEMBL591773	
CHEMBL1528359	
CHEMBL1743020	
CHEMBL1521	DB00962
CHEMBL583150	
CHEMBL93240	
CHEMBL513	DB00262
CHEMBL103104	
CHEMBL1642	
CHEMBL778	DB00633
CHEMBL259805	
CHEMBL1161520	
CHEMBL33986	
CHEMBL186113	
CHEMBL554	DB01259
CHEMBL364713	DB06174
CHEMBL1201567	
CHEMBL484785	DB05219
CHEMBL107498	DB03600
CHEMBL1358662	
CHEMBL2002487	
CHEMBL1200402	
CHEMBL3545397	
CHEMBL214957	
CHEMBL405110	DB09241
CHEMBL502057	
CHEMBL27768	
CHEMBL1201733	
CHEMBL1201836	
CHEMBL3137309	DB11581
CHEMBL408513	DB05015
CHEMBL422	DB00831
CHEMBL525610	
CHEMBL146095	
CHEMBL403741	DB14141
CHEMBL2108056	
CHEMBL2010872	
CHEMBL652	DB01195
CHEMBL298734	DB06448
CHEMBL111545	
CHEMBL534	DB00920
CHEMBL1789843	
CHEMBL3545194	
CHEMBL592316	
CHEMBL651	DB00333
CHEMBL274826	DB01536
CHEMBL1373	DB00745
CHEMBL567	DB00850
CHEMBL178	DB00694
CHEMBL1201837	
CHEMBL135400	DB01198
CHEMBL3545063	
CHEMBL73151	DB13399
CHEMBL1773343	
CHEMBL2146126	
CHEMBL1908843	
CHEMBL20684	DB12254
CHEMBL407	DB01205
CHEMBL2105719	
CHEMBL1201007	
CHEMBL1624	DB00451
a:Q47522160	
CHEMBL1201038	
CHEMBL259850	DB01950
CHEMBL26215	DB12452
CHEMBL497	DB04815
CHEMBL308688	
CHEMBL3601398	
CHEMBL1224310	
CHEMBL72628	
CHEMBL68534	
CHEMBL1599768	
CHEMBL426084	DB12543
CHEMBL4297488	
CHEMBL822	DB00857
CHEMBL464812	
CHEMBL3545351	
CHEMBL1201823	
CHEMBL2107572	
CHEMBL250711	
CHEMBL17331	
CHEMBL3948730	DB14989
CHEMBL1256	DB00753
CHEMBL20377	
CHEMBL4298138	
CHEMBL598279	
CHEMBL50894	DB04014
CHEMBL3545076	DB12690
CHEMBL2108569	
CHEMBL84685	
CHEMBL1240	
CHEMBL454843	
CHEMBL1983317	
CHEMBL582286	
CHEMBL490355	
CHEMBL1904600	
CHEMBL487046	
CHEMBL3545215	DB12591
CHEMBL451260	
CHEMBL483531	
CHEMBL466426	
CHEMBL1201049	
CHEMBL277062	DB01558
CHEMBL452715	DB05540
CHEMBL3545017	DB14969
CHEMBL1201328	DB01038
CHEMBL92	DB01248
CHEMBL83	DB00675
CHEMBL186179	DB06510
CHEMBL601605	
CHEMBL919	
CHEMBL296407	
CHEMBL1626	DB00283
CHEMBL154580	
CHEMBL1518159	
CHEMBL1515	DB00763
CHEMBL490129	
CHEMBL4296717	DB12392
CHEMBL1200748	
CHEMBL1983350	DB09118
CHEMBL6	DB00328
CHEMBL260342	
CHEMBL4301492	DB04947
CHEMBL323197	
CHEMBL3707398	
CHEMBL1235966	
CHEMBL430893	DB04149
CHEMBL1072	DB00887
CHEMBL1289	DB00793
CHEMBL1201244	DB00728
CHEMBL3306803	DB06077
CHEMBL292702	
CHEMBL1256291	
CHEMBL1164729	DB04854
CHEMBL588804	
CHEMBL1094785	
CHEMBL3218576	DB12483
CHEMBL1609891	
CHEMBL1201754	DB06201
CHEMBL1615025	DB12241
CHEMBL2109584	
CHEMBL117	DB15581
CHEMBL99946	DB08918
CHEMBL3833393	
CHEMBL539947	
CHEMBL119443	DB01253
CHEMBL122355	
CHEMBL1334465	
CHEMBL2070241	DB11653
CHEMBL59	DB00988
CHEMBL1287853	DB12500
CHEMBL454173	
CHEMBL1201037	
CHEMBL428064	
CHEMBL442	DB00696
CHEMBL11	DB00458
a:Q27088419	
CHEMBL187460	DB15579
CHEMBL1393	DB00421
CHEMBL1200764	
CHEMBL2109662	
CHEMBL258940	DB12966
CHEMBL578944	
CHEMBL26424	DB04905
CHEMBL169896	
CHEMBL1043	DB00250
CHEMBL599098	
CHEMBL578109	
CHEMBL1572415	
CHEMBL1282	DB00724
CHEMBL374027	
CHEMBL1021	DB06802
CHEMBL53418	DB04816
CHEMBL115	DB00224
CHEMBL300138	DB06486
CHEMBL2220486	DB11845
CHEMBL124660	DB05465
CHEMBL509523	
CHEMBL43452	DB08910
CHEMBL7257	DB14010
CHEMBL1201263	DB00769
CHEMBL517140	
CHEMBL30	DB00501
CHEMBL325041	DB00188
CHEMBL1200814	
CHEMBL1201210	DB00777
CHEMBL2107882	
CHEMBL472656	
CHEMBL2074725	DB13691
CHEMBL1606295	
CHEMBL1763	DB00774
CHEMBL1726	DB00401
CHEMBL2336071	DB12371
CHEMBL600103	
CHEMBL172350	
CHEMBL1186579	
CHEMBL1200471	
CHEMBL61	DB01179
CHEMBL1171837	DB08901
CHEMBL476968	
CHEMBL8483	DB08324
CHEMBL284092	DB12184
CHEMBL515252	
CHEMBL14376	DB04946
CHEMBL77030	
CHEMBL1256708	
CHEMBL1822792	
CHEMBL370805	DB00907
CHEMBL1438439	
CHEMBL446567	
CHEMBL4297918	
CHEMBL2109334	
CHEMBL96051	
CHEMBL11359	
CHEMBL2304041	DB12391
CHEMBL2107832	DB14904
CHEMBL1522984	
CHEMBL483158	DB05220
CHEMBL1201320	DB00736
CHEMBL1201692	
CHEMBL1702181	
CHEMBL1200781	
CHEMBL1025	DB00677
CHEMBL1476605	DB13237
CHEMBL1489988	
CHEMBL1200843	
CHEMBL1230609	DB12307
CHEMBL1230222	
CHEMBL455876	
CHEMBL1405	DB00655
CHEMBL306764	
CHEMBL316034	
CHEMBL2107723	DB12482
CHEMBL1201027	
CHEMBL1182997	DB05710
CHEMBL1897070	
CHEMBL1200487	
CHEMBL1800368	
CHEMBL607400	DB05541
CHEMBL437027	
CHEMBL148319	
CHEMBL1425	DB01033
CHEMBL1697788	
CHEMBL1275	
CHEMBL2106523	
CHEMBL495727	
CHEMBL3545078	
CHEMBL1201666	
CHEMBL574738	
CHEMBL69367	
CHEMBL1256472	
CHEMBL1333512	
CHEMBL602923	
CHEMBL64391	
CHEMBL592115	
CHEMBL9324	DB08837
CHEMBL44657	DB00773
CHEMBL1814509	
CHEMBL36148	
CHEMBL405	DB00182
CHEMBL1185	DB00315
CHEMBL582	DB02325
CHEMBL600747	
CHEMBL521027	
CHEMBL491981	
CHEMBL1852688	DB11886
CHEMBL314854	DB05286
CHEMBL314854	DB08868
CHEMBL573339	
CHEMBL35	DB00695
CHEMBL2109092	
CHEMBL2165191	DB14980
CHEMBL1184	
CHEMBL226267	DB06249
CHEMBL406	DB00808
CHEMBL514800	DB05676
CHEMBL123325	
CHEMBL232201	DB13277
CHEMBL2387080	DB12108
CHEMBL27	DB00571
CHEMBL343448	DB06176
CHEMBL7728	DB01355
CHEMBL3545307	DB12381
CHEMBL1079175	
CHEMBL292303	DB03225
CHEMBL267099	DB03172
CHEMBL1160028	
CHEMBL1159650	DB01013
CHEMBL64894	
CHEMBL1009	DB01235
CHEMBL1231160	DB11759
CHEMBL253553	
CHEMBL123040	
CHEMBL303124	
CHEMBL1743071	
CHEMBL493241	
CHEMBL2219422	DB11648
CHEMBL1201593	
CHEMBL555017	
CHEMBL43482	
CHEMBL478754	
CHEMBL3234681	
CHEMBL141	DB00709
CHEMBL4297522	DB15102
CHEMBL563777	
CHEMBL1237119	DB00374
CHEMBL3545221	
CHEMBL2028850	DB06196
CHEMBL23	DB00343
CHEMBL220241	
CHEMBL1743016	
CHEMBL1645462	DB12318
CHEMBL1200790	DB01107
CHEMBL1077759	
CHEMBL277525	
CHEMBL173729	
CHEMBL1445	DB01185
CHEMBL281211	
CHEMBL383634	DB01251
CHEMBL1200601	
CHEMBL4297883	
CHEMBL960	DB01097
CHEMBL538943	
CHEMBL1200703	
CHEMBL206815	DB13020
CHEMBL312032	
CHEMBL1237044	
CHEMBL134	DB00575
CHEMBL1326164	
CHEMBL56331	
CHEMBL402915	
CHEMBL402548	DB11778
CHEMBL596633	
CHEMBL3545284	
CHEMBL1370561	DB01223
CHEMBL39664	
CHEMBL547304	
CHEMBL4297264	DB12537
CHEMBL1997335	
CHEMBL573111	
CHEMBL28319	DB01726
CHEMBL414804	
CHEMBL387675	
CHEMBL1566	
CHEMBL598663	
CHEMBL3545321	
CHEMBL1042	DB00169
CHEMBL3707374	
CHEMBL2012520	DB12858
CHEMBL3545353	
CHEMBL1200798	
CHEMBL319244	
CHEMBL957	DB00559
CHEMBL1023	DB00307
CHEMBL1180725	DB00782
CHEMBL49	DB00490
CHEMBL741	DB00555
CHEMBL2107387	
CHEMBL3545365	
CHEMBL870	DB00630
CHEMBL1109	DB06729
CHEMBL278020	DB01400
CHEMBL413376	
CHEMBL1222251	DB03106
CHEMBL1222251	DB13178
CHEMBL1222251	DB15350
CHEMBL1201139	DB00351
